Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
ITGB1BP1	chr2	9423569	chr2	9474195	9475166	0.99001	PPARG,(0.952047952047952),HIC1,(0.949050949050949),NR5A2,(0.915084915084915),NR1H2,(0.902097902097902),ESRRB,(0.89010989010989),NR1H3,(0.864135864135864),NR4A3,(0.807192807192807),HES1,(0.803196803196803),
KIF16B	chr20	16573448	chr20	16540973	16541899	0.97003	NR2F1,(0.984015984015984),NR1I3,(0.95004995004995),RORA,(0.901098901098901),PGR,(0.83016983016983),
KLHL22	chr22	20495795	chr22	20021741	20022507	0.974026	ESRRB,(0.994005994005994),RXRA,(0.993006993006993),ESR2,(0.992007992007992),RXRG,(0.99000999000999),ESR1,(0.985014985014985),MITF,(0.97002997002997),NR5A1,(0.969030969030969),NR4A3,(0.962037962037962),NR1H3,(0.934065934065934),ESRRA,(0.932067932067932),NR2F6,(0.92007992007992),ESRRG,(0.912087912087912),
KSR1	chr17	27456447	chr17	27593258	27594384	0.987013	TGIF2,(1),GLI1,(0.995004995004995),MYOD1,(0.994005994005994),NR2E1,(0.979020979020979),TEAD1,(0.979020979020979),NR1I3,(0.974025974025974),NR1I2,(0.951048951048951),ESRRG,(0.944055944055944),RORA,(0.94005994005994),PPARD,(0.94005994005994),MYF5,(0.936063936063936),HES1,(0.926073926073926),RORB,(0.884115884115884),ESRRB,(0.872127872127872),ESRRA,(0.868131868131868),OSR1,(0.86013986013986),NR2F2,(0.823176823176823),MITF,(0.818181818181818),
LANCL2	chr7	55365447	chr7	55439890	55440897	0.971029	ESRRG,(1),NR3C1,(0.999000999000999),ESRRB,(0.999000999000999),RORC,(0.999000999000999),RORA,(0.998001998001998),ESR1,(0.996003996003996),SMARCC1,(0.995004995004995),PPARG,(0.994005994005994),ESRRA,(0.994005994005994),ESR2,(0.991008991008991),NR4A1,(0.984015984015984),PPARA,(0.976023976023976),TP73,(0.898101898101898),RORB,(0.888111888111888),
LARGE1	chr22	33922888	chr22	33883676	33884803	0.977023	JUN,(0.998001998001998),RORC,(0.998001998001998),RORA,(0.997002997002997),FOSL2,(0.996003996003996),BACH2,(0.996003996003996),FOSB,(0.996003996003996),SMARCC1,(0.996003996003996),BACH1,(0.995004995004995),MEIS1,(0.995004995004995),JDP2,(0.994005994005994),SNAI2,(0.994005994005994),FOSL1,(0.991008991008991),HNF4A,(0.988011988011988),ESRRA,(0.985014985014985),JUNB,(0.983016983016983),MYOD1,(0.903096903096903),ATOH1,(0.849150849150849),
LIMD1	chr3	45594750	chr3	45604762	45605720	0.96004	JDP2,(0.99000999000999),KLF8,(0.986013986013986),NR3C1,(0.986013986013986),RARA,(0.983016983016983),HLTF,(0.967032967032967),TP73,(0.964035964035964),JUN,(0.959040959040959),NR2F2,(0.954045954045954),HNF4G,(0.933066933066933),HNF4A,(0.902097902097902),NR2E1,(0.868131868131868),
LINC01968	chr3	194708420	chr3	194852798	194853771	1	ESRRG,(0.992007992007992),MYOD1,(0.984015984015984),ESRRB,(0.939060939060939),ESRRA,(0.873126873126873),ESR1,(0.83016983016983),HIC1,(0.825174825174825),
LMBRD1	chr6	69797010	chr6	69734772	69735687	0.962038	ZKSCAN4,(0.938061938061938),ZKSCAN3,(0.904095904095904),TFCP2,(0.815184815184815),
LNPEP	chr5	96936079	chr5	97061718	97062793	0.968032	NR4A2,(1),MYC,(0.999000999000999),MXI1,(0.998001998001998),CREB3L2,(0.997002997002997),TCF7L2,(0.997002997002997),NR1I2,(0.996003996003996),NR2F1,(0.993006993006993),NR4A3,(0.99000999000999),ESR2,(0.985014985014985),HNF4G,(0.979020979020979),RXRA,(0.972027972027972),NPAS2,(0.969030969030969),NR1I3,(0.967032967032967),TP73,(0.959040959040959),RARB,(0.918081918081918),NFE2,(0.896103896103896),USF1,(0.883116883116883),NR1H4,(0.804195804195804),
LONRF3	chrX	118974613	chrX	119468814	119469704	0.982018	NR4A3,(0.958041958041958),RARB,(0.957042957042957),NR4A2,(0.955044955044955),PPARA,(0.946053946053946),NR1H2,(0.918081918081918),NR1H3,(0.917082917082917),ESRRA,(0.915084915084915),RARG,(0.913086913086913),ESR2,(0.898101898101898),NR4A1,(0.866133866133866),ESR1,(0.852147852147852),ESRRG,(0.824175824175824),
LPIN1	chr2	11677543	chr2	11752964	11754888	0.988012	NR1I2,(0.992007992007992),NFE2,(0.988011988011988),ZIC1,(0.979020979020979),SMARCC1,(0.979020979020979),NR4A2,(0.978021978021978),ZIC3,(0.901098901098901),JUN,(0.898101898101898),JUND,(0.844155844155844),BACH1,(0.83016983016983),
LPIN1	chr2	11677543	chr2	11807097	11808095	0.992008	RARA,(0.981018981018981),NR4A3,(0.947052947052947),NFE2,(0.936063936063936),NR4A1,(0.926073926073926),NR4A2,(0.92007992007992),MEIS2,(0.9000999000999),
LPIN1	chr2	11677543	chr2	11820969	11822061	0.993007	NR1I2,(0.849150849150849),ZNF219,(0.834165834165834),
LPIN1	chr2	11677543	chr2	11829673	11830652	0.983017	RARA,(1),ATOH1,(0.999000999000999),JUN,(0.997002997002997),SMARCC1,(0.997002997002997),JDP2,(0.993006993006993),BACH1,(0.988011988011988),JUNB,(0.983016983016983),FOSL1,(0.982017982017982),TP73,(0.965034965034965),FOSL2,(0.961038961038961),
LRIG2-DT	chr1	113073102	chr1	112982764	112983731	0.974026	TEAD1,(0.977022977022977),NR4A3,(0.975024975024975),ESRRA,(0.964035964035964),ESRRG,(0.963036963036963),NR5A1,(0.941058941058941),ESRRB,(0.915084915084915),NR4A1,(0.855144855144855),
LRIG2-DT	chr1	113073102	chr1	112992505	112993467	0.96004	TCF7L2,(0.988011988011988),ZKSCAN3,(0.981018981018981),JUN,(0.965034965034965),ZKSCAN4,(0.889110889110889),RORA,(0.885114885114885),NR2E1,(0.814185814185814),
LRIG2-DT	chr1	113073102	chr1	112995622	112996555	0.978022	NR4A3,(0.989010989010989),RARA,(0.988011988011988),BACH1,(0.98001998001998),JUN,(0.98001998001998),BACH2,(0.974025974025974),HIC1,(0.885114885114885),FOSL1,(0.846153846153846),
LRIG2-DT	chr1	113073102	chr1	113000316	113001259	0.968032	TP73,(1),MITF,(0.987012987012987),SNAI2,(0.981018981018981),ZNF219,(0.834165834165834),RORC,(0.801198801198801),
LRRC28	chr15	99251480	chr15	99454670	99455626	0.953047	RORC,(0.979020979020979),FOSB,(0.973026973026973),FOSL1,(0.973026973026973),HES1,(0.97002997002997),SMARCC1,(0.963036963036963),BACH1,(0.958041958041958),ESR2,(0.947052947052947),NR3C1,(0.943056943056943),BACH2,(0.937062937062937),FOSL2,(0.923076923076923),JUNB,(0.897102897102897),TP73,(0.836163836163836),ATOH1,(0.814185814185814),
LRRC28	chr15	99251480	chr15	99474832	99475743	0.976024	NR2C1,(0.987012987012987),NR4A1,(0.973026973026973),SMARCC1,(0.968031968031968),NR4A3,(0.904095904095904),JUN,(0.847152847152847),ESRRA,(0.835164835164835),FOSL2,(0.826173826173826),
MAEA	chr4	1289890	chr4	986630	987567	0.97003	USF2,(0.934065934065934),ZIC1,(0.9000999000999),ZNF219,(0.874125874125874),
MAEA	chr4	1289890	chr4	1172943	1173886	0.967033	RORC,(0.99000999000999),NR4A3,(0.989010989010989),NR2C1,(0.984015984015984),ZKSCAN4,(0.98001998001998),ESR1,(0.977022977022977),KLF8,(0.975024975024975),HNF4A,(0.911088911088911),ESR2,(0.898101898101898),NR2E1,(0.858141858141858),
MAN1C1	chr1	25617467	chr1	25549145	25550151	0.984016	MEIS2,(0.983016983016983),JUN,(0.96003996003996),BACH2,(0.951048951048951),ZIC3,(0.943056943056943),BACH1,(0.937062937062937),KLF3,(0.936063936063936),TFCP2,(0.936063936063936),SMARCC1,(0.927072927072927),FOSL2,(0.922077922077922),MTF1,(0.918081918081918),HES1,(0.916083916083916),JDP2,(0.914085914085914),TP73,(0.906093906093906),GLI1,(0.901098901098901),HLTF,(0.852147852147852),FOSL1,(0.851148851148851),ATOH1,(0.842157842157842),JUNB,(0.835164835164835),JUND,(0.833166833166833),
MAN1C1	chr1	25617467	chr1	25744148	25744665	0.997003	NR2C1,(0.891108891108891),NR1I3,(0.818181818181818),
MAN1C1	chr1	25617467	chr1	25786522	25787522	0.982018	MITF,(0.983016983016983),JDP2,(0.983016983016983),BACH1,(0.977022977022977),JUN,(0.949050949050949),FOSB,(0.936063936063936),FOSL2,(0.926073926073926),SMARCC1,(0.906093906093906),BACH2,(0.863136863136863),GLIS1,(0.847152847152847),
MAN1C1	chr1	25617467	chr1	26061452	26062257	0.982018	ESRRG,(0.982017982017982),NR2C1,(0.977022977022977),NR2F1,(0.972027972027972),NR1I3,(0.966033966033966),ESRRA,(0.955044955044955),NR4A3,(0.952047952047952),PPARD,(0.95004995004995),ESRRB,(0.939060939060939),NR1I2,(0.896103896103896),NR6A1,(0.85014985014985),NR5A2,(0.84015984015984),
MAP2K3	chr17	21284710	chr17	21021116	21022179	0.983017	ESRRB,(0.982017982017982),NR2C1,(0.982017982017982),USF2,(0.953046953046953),NR6A1,(0.802197802197802),
MAP2K3	chr17	21284710	chr17	21041661	21042464	0.997003	ESRRA,(0.918081918081918),NR1I3,(0.915084915084915),
MAP2K3	chr17	21284710	chr17	21165768	21166756	0.995005	RARA,(0.967032967032967),TEAD1,(0.957042957042957),PPARD,(0.956043956043956),RORA,(0.946053946053946),NR1I3,(0.945054945054945),BACH1,(0.943056943056943),MAF,(0.928071928071928),ESR2,(0.924075924075924),MEIS1,(0.919080919080919),RORB,(0.892107892107892),PPARA,(0.876123876123876),NR1I2,(0.851148851148851),MTF1,(0.818181818181818),
MAP3K2	chr2	127388465	chr2	127052049	127052908	0.969031	NFE2,(0.985014985014985),ATOH1,(0.976023976023976),ESR2,(0.971028971028971),ESR1,(0.845154845154845),
MAP3K2	chr2	127388465	chr2	127165124	127166104	0.973027	RARA,(1),TFCP2,(0.999000999000999),RORC,(0.999000999000999),ZKSCAN3,(0.998001998001998),MYOD1,(0.997002997002997),MTF1,(0.995004995004995),ZKSCAN4,(0.994005994005994),SNAI2,(0.986013986013986),MYF5,(0.961038961038961),TFCP2L1,(0.892107892107892),ATF3,(0.879120879120879),
MAP3K2	chr2	127388465	chr2	127170227	127171229	0.974026	CREB3L2,(1),NR4A3,(1),NR2F1,(1),ZNF784,(0.999000999000999),NR4A1,(0.999000999000999),NR4A2,(0.999000999000999),RXRA,(0.999000999000999),HNF4A,(0.998001998001998),NR2C1,(0.99000999000999),NR6A1,(0.989010989010989),HNF4G,(0.988011988011988),RXRB,(0.943056943056943),RARB,(0.927072927072927),NR2F6,(0.898101898101898),
MAP4K3	chr2	39437285	chr2	39356691	39357702	0.965035	NR2F1,(0.999000999000999),RXRA,(0.998001998001998),ZNF691,(0.993006993006993),MITF,(0.985014985014985),
MAP4K3	chr2	39437285	chr2	39512032	39513001	0.966034	MXI1,(0.999000999000999),ZNF784,(0.999000999000999),NR4A2,(0.999000999000999),TCF7L2,(0.999000999000999),HNF4A,(0.998001998001998),RXRB,(0.998001998001998),NR4A1,(0.997002997002997),NR4A3,(0.992007992007992),PPARG,(0.992007992007992),RXRA,(0.992007992007992),JUND,(0.99000999000999),PPARD,(0.99000999000999),PPARA,(0.988011988011988),NR2F2,(0.982017982017982),JUN,(0.972027972027972),RARB,(0.899100899100899),NR2F1,(0.896103896103896),JUNB,(0.867132867132867),ZNF219,(0.845154845154845),NR2F6,(0.814185814185814),
MAPT-AS1	chr17	45895513	chr17	45906664	45907436	0.997003	NR4A1,(0.991008991008991),NR1I3,(0.965034965034965),KLF8,(0.886113886113886),
MAPT-AS1	chr17	45895513	chr17	46039197	46040221	1	ESRRB,(0.966033966033966),ESRRA,(0.934065934065934),NR3C1,(0.931068931068931),ESR1,(0.914085914085914),ESRRG,(0.898101898101898),NR4A1,(0.835164835164835),
MCF2L2	chr3	183428269	chr3	183392089	183393067	0.972028	HNF4G,(1),HES1,(0.998001998001998),KLF3,(0.998001998001998),TFEB,(0.996003996003996),NR1H3,(0.996003996003996),HNF4A,(0.995004995004995),ZKSCAN4,(0.989010989010989),ATOH1,(0.977022977022977),ZNF784,(0.973026973026973),NR5A2,(0.89010989010989),NR2F6,(0.832167832167832),
MCF2L2	chr3	183428269	chr3	183447180	183448135	0.976024	HES1,(0.962037962037962),ESRRB,(0.957042957042957),NR4A3,(0.949050949050949),NR4A2,(0.936063936063936),ESRRG,(0.934065934065934),NR3C1,(0.92007992007992),ESRRA,(0.918081918081918),NR2F6,(0.883116883116883),NR1H3,(0.879120879120879),NR4A1,(0.808191808191808),
MCF2L2	chr3	183428269	chr3	183641612	183642565	1	MYOD1,(0.878121878121878),
MCRIP2	chr16	641827	chr16	645595	646504	0.959041	PPARD,(0.94005994005994),ATOH1,(0.934065934065934),MITF,(0.886113886113886),SNAI2,(0.862137862137862),
MDH1	chr2	63588962	chr2	63710408	63711341	0.976024	HES1,(0.951048951048951),BACH1,(0.943056943056943),JDP2,(0.941058941058941),PPARD,(0.908091908091908),
MDH1	chr2	63588962	chr2	63742995	63743924	0.986014	PPARD,(0.9000999000999),
MDH1	chr2	63588962	chr2	63841402	63842089	0.987013	RARA,(0.96003996003996),ESR2,(0.934065934065934),TFCP2L1,(0.804195804195804),
MED9	chr17	17476999	chr17	17682338	17683365	0.967033	NR4A2,(0.995004995004995),NR5A2,(0.992007992007992),ESRRG,(0.975024975024975),TCF7L2,(0.953046953046953),HES1,(0.908091908091908),ESRRB,(0.893106893106893),
MED9	chr17	17476999	chr17	17848905	17850399	0.969031	HEY1,(0.981018981018981),ESR2,(0.963036963036963),NR3C1,(0.951048951048951),CREB3L2,(0.923076923076923),MEIS1,(0.923076923076923),ATF3,(0.922077922077922),NR4A1,(0.904095904095904),TFEB,(0.857142857142857),USF1,(0.847152847152847),KLF3,(0.815184815184815),
MFN2	chr1	11980180	chr1	11989260	11990066	0.961039	MYCN,(0.982017982017982),MYC,(0.982017982017982),NPAS2,(0.976023976023976),TCF7L2,(0.976023976023976),MXI1,(0.972027972027972),ATF3,(0.92007992007992),
MGST3	chr1	165631233	chr1	165240181	165241052	0.971029	HNF4G,(0.988011988011988),ATOH1,(0.974025974025974),NR1I3,(0.973026973026973),NR1I2,(0.963036963036963),NR1H4,(0.958041958041958),USF2,(0.927072927072927),ZNF784,(0.908091908091908),RORC,(0.834165834165834),SNAI2,(0.812187812187812),
MGST3	chr1	165631233	chr1	165543506	165544492	0.956044	PPARA,(0.999000999000999),ZIC3,(0.998001998001998),MEIS2,(0.997002997002997),ZNF219,(0.996003996003996),RXRB,(0.992007992007992),RORA,(0.984015984015984),TFEB,(0.964035964035964),GLI1,(0.955044955044955),ATOH1,(0.954045954045954),RXRA,(0.947052947052947),PPARG,(0.915084915084915),NR1H4,(0.894105894105894),NR2F6,(0.836163836163836),
MIR1-1HG	chr20	62550452	chr20	62117360	62118212	0.979021	PPARD,(0.985014985014985),NR1I2,(0.979020979020979),ZIC3,(0.975024975024975),HES1,(0.97002997002997),MITF,(0.97002997002997),NR1I3,(0.967032967032967),TFEB,(0.965034965034965),MEIS1,(0.916083916083916),
MIR1-1HG	chr20	62550452	chr20	62555145	62556175	0.968032	HNF4G,(0.997002997002997),PPARD,(0.984015984015984),ESR1,(0.981018981018981),MYOD1,(0.963036963036963),PPARA,(0.958041958041958),HIC1,(0.947052947052947),KLF3,(0.933066933066933),NR2E1,(0.867132867132867),
MIR3936HG	chr5	132369916	chr5	132446484	132447464	0.962038	NR4A2,(0.991008991008991),PPARD,(0.962037962037962),NR3C1,(0.959040959040959),ZIC3,(0.9000999000999),SNAI2,(0.883116883116883),
MOCS1	chr6	39934462	chr6	40314774	40315726	0.975025	TFCP2,(0.997002997002997),RORB,(0.978021978021978),NR2F2,(0.961038961038961),NR4A1,(0.951048951048951),ESRRG,(0.946053946053946),NR4A3,(0.944055944055944),USF2,(0.923076923076923),MYF5,(0.822177822177822),
MORC3	chr21	36320188	chr21	36171588	36172570	0.966034	HES1,(1),KLF3,(1),RARB,(1),NR4A2,(1),NR3C1,(0.999000999000999),ESRRA,(0.999000999000999),MAF,(0.98001998001998),PGR,(0.98001998001998),ESR1,(0.962037962037962),ESR2,(0.933066933066933),RARG,(0.924075924075924),
MORC3	chr21	36320188	chr21	36186698	36187536	0.962038	NR6A1,(0.98001998001998),MEIS1,(0.974025974025974),NR2C1,(0.963036963036963),KLF8,(0.921078921078921),SNAI2,(0.911088911088911),NR2F6,(0.814185814185814),
MPC1	chr6	166382940	chr6	166381549	166382294	1	ESR2,(0.921078921078921),NR3C1,(0.911088911088911),ESR1,(0.872127872127872),
MPC2	chr1	167937072	chr1	167681191	167682186	0.972028	TP73,(0.978021978021978),ESRRB,(0.939060939060939),ATOH1,(0.824175824175824),
MPHOSPH10	chr2	71130633	chr2	71455919	71456848	0.952048	RARA,(0.958041958041958),ESRRB,(0.942057942057942),NR4A3,(0.917082917082917),ESRRA,(0.865134865134865),ESRRG,(0.862137862137862),ZNF219,(0.845154845154845),
MRPS25	chr3	15065315	chr3	15314701	15315654	0.971029	NR1I2,(1),NR4A3,(0.98001998001998),NR1I3,(0.973026973026973),HLTF,(0.882117882117882),
MRPS25	chr3	15065315	chr3	15319246	15320180	0.976024	NR4A2,(1),ESRRA,(1),RORA,(0.999000999000999),NR4A3,(0.999000999000999),PPARA,(0.998001998001998),RORC,(0.997002997002997),TGIF2,(0.996003996003996),NR4A1,(0.996003996003996),PPARD,(0.992007992007992),ATOH1,(0.99000999000999),NR1I2,(0.89010989010989),
MRPS25	chr3	15065315	chr3	15327687	15328615	0.962038	JUND,(0.971028971028971),KLF3,(0.957042957042957),FOSL2,(0.955044955044955),HES1,(0.938061938061938),PPARA,(0.918081918081918),JUNB,(0.821178821178821),
MRPS25	chr3	15065315	chr3	15332117	15333002	0.953047	NR2F6,(0.97002997002997),ZNF219,(0.907092907092907),HES1,(0.901098901098901),NR2F1,(0.881118881118881),
MTCH2	chr11	47642654	chr11	48003638	48004618	0.963037	MYOD1,(1),NR4A1,(0.999000999000999),MYF5,(0.998001998001998),NR2F1,(0.994005994005994),HNF4G,(0.992007992007992),PPARD,(0.991008991008991),RXRA,(0.991008991008991),NR4A3,(0.99000999000999),ESRRA,(0.987012987012987),HNF4A,(0.986013986013986),ATOH1,(0.975024975024975),TEAD1,(0.964035964035964),NR4A2,(0.946053946053946),MEIS2,(0.878121878121878),TGIF2,(0.805194805194805),
MTPAP	chr10	30349338	chr10	30000603	30001637	0.974026	HEY1,(1),RXRA,(1),KLF3,(0.999000999000999),MEIS1,(0.999000999000999),NR4A2,(0.999000999000999),NR4A3,(0.997002997002997),NR2C1,(0.997002997002997),ESR2,(0.997002997002997),JUN,(0.995004995004995),PPARD,(0.994005994005994),BACH2,(0.993006993006993),NR4A1,(0.992007992007992),HNF4G,(0.992007992007992),NR2F1,(0.989010989010989),NPAS2,(0.986013986013986),NR2F6,(0.97002997002997),RXRG,(0.908091908091908),
MVB12B	chr9	126326828	chr9	126805590	126806468	0.978022	BACH1,(0.99000999000999),MAF,(0.989010989010989),RXRG,(0.988011988011988),SMARCC1,(0.986013986013986),MEIS1,(0.973026973026973),RXRA,(0.95004995004995),FOSL1,(0.946053946053946),NR2C1,(0.93006993006993),FOSL2,(0.913086913086913),JUN,(0.907092907092907),JDP2,(0.89010989010989),NR2F2,(0.868131868131868),TGIF2,(0.828171828171828),KLF3,(0.827172827172827),JUNB,(0.816183816183816),
NAGLU	chr17	42536240	chr17	42975348	42976255	0.979021	NPAS2,(0.995004995004995),TFEB,(0.992007992007992),HES1,(0.989010989010989),NR2C1,(0.979020979020979),NR4A2,(0.967032967032967),RORA,(0.962037962037962),HEY1,(0.936063936063936),RORB,(0.903096903096903),TFCP2,(0.876123876123876),
NAMA	chr9	99375257	chr9	99261702	99262661	0.991009	ZIC1,(1),NR2F6,(1),ATOH1,(1),NR1H3,(0.993006993006993),NR6A1,(0.99000999000999),
NAPA	chr19	47515063	chr19	47227729	47228725	0.953047	KLF3,(0.997002997002997),PPARG,(0.989010989010989),KLF8,(0.945054945054945),NR2E1,(0.848151848151848),
NCOA3	chr20	47501886	chr20	47410687	47411699	0.978022	NR3C1,(0.953046953046953),NR2E1,(0.95004995004995),
NCOR2	chr12	124567612	chr12	124321968	124323033	0.97003	TFCP2,(0.975024975024975),PPARA,(0.964035964035964),NR2C1,(0.917082917082917),TCF7L2,(0.909090909090909),TP73,(0.88011988011988),NFE2,(0.862137862137862),
NCR3LG1	chr11	17351799	chr11	17741908	17742835	0.982018	ZIC3,(1),MEIS1,(1),PPARD,(1),NR4A3,(1),NR2C1,(1),NR4A1,(1),NR4A2,(0.997002997002997),ZNF691,(0.955044955044955),
NDRG3	chr20	36746090	chr20	36463632	36464451	0.962038	NR4A1,(1),RORC,(1),KLF3,(0.999000999000999),RXRG,(0.999000999000999),RORA,(0.997002997002997),RXRA,(0.997002997002997),PPARD,(0.996003996003996),NR4A3,(0.996003996003996),NR4A2,(0.995004995004995),NR2F6,(0.994005994005994),
NDUFA8	chr9	122159779	chr9	121686628	121687637	0.953047	RARA,(0.988011988011988),TCF7L2,(0.985014985014985),MEIS2,(0.974025974025974),MITF,(0.955044955044955),FOSL2,(0.951048951048951),MEIS1,(0.868131868131868),NR2F2,(0.828171828171828),TGIF2,(0.813186813186813),
NDUFB6	chr9	32573184	chr9	32572721	32573630	0.987013	ZNF691,(0.948051948051948),TP73,(0.933066933066933),RARA,(0.836163836163836),KLF8,(0.811188811188811),FOSB,(0.809190809190809),
NINJ2	chr12	663445	chr12	232943	233937	0.999001	GCM1,(1),HLTF,(0.98001998001998),NPAS2,(0.936063936063936),USF2,(0.918081918081918),NR1H4,(0.906093906093906),HES1,(0.862137862137862),ZIC3,(0.858141858141858),HNF4A,(0.84015984015984),HNF4G,(0.832167832167832),
NMRK2	chr19	3933102	chr19	3963364	3964283	0.987013	MITF,(0.984015984015984),PPARD,(0.969030969030969),NR1H2,(0.958041958041958),RORC,(0.958041958041958),HES1,(0.955044955044955),NR4A3,(0.951048951048951),RXRA,(0.947052947052947),RORA,(0.938061938061938),NR6A1,(0.93006993006993),MYOD1,(0.891108891108891),HNF4A,(0.834165834165834),NR2C1,(0.829170829170829),ZNF691,(0.805194805194805),
NPHP1	chr2	110205013	chr2	109719622	109720574	0.967033	MITF,(1),RARA,(0.999000999000999),RORC,(0.992007992007992),PPARD,(0.991008991008991),GLIS1,(0.989010989010989),ZKSCAN4,(0.973026973026973),TGIF2,(0.959040959040959),
NRP1	chr10	33334905	chr10	33272885	33273955	0.994006	RXRB,(0.997002997002997),HNF4A,(0.987012987012987),NR2F2,(0.987012987012987),RARB,(0.973026973026973),HNF4G,(0.971028971028971),TEAD1,(0.971028971028971),PPARA,(0.968031968031968),NR4A3,(0.96003996003996),MYOD1,(0.951048951048951),NR2F1,(0.943056943056943),RXRA,(0.926073926073926),ZNF219,(0.924075924075924),MYF5,(0.907092907092907),
NRP1	chr10	33334905	chr10	33332033	33332951	0.984016	RORB,(1),NR2E1,(0.999000999000999),RORC,(0.999000999000999),PPARA,(0.999000999000999),RORA,(0.991008991008991),
NRP1	chr10	33334905	chr10	33336018	33336709	0.989011	NR4A1,(1),NR4A2,(1),NR4A3,(0.997002997002997),RXRA,(0.997002997002997),HNF4A,(0.988011988011988),NR2F1,(0.956043956043956),RXRB,(0.913086913086913),ZNF691,(0.883116883116883),KLF8,(0.864135864135864),ATF3,(0.824175824175824),
NRP1	chr10	33334905	chr10	33336747	33337730	0.989011	PPARD,(1),TCF7L2,(1),ZKSCAN4,(0.997002997002997),NR3C1,(0.987012987012987),ZKSCAN3,(0.986013986013986),GLIS1,(0.983016983016983),
NRP1	chr10	33334905	chr10	33808162	33809043	0.988012	FOSL2,(0.995004995004995),TCF7L2,(0.995004995004995),SMARCC1,(0.993006993006993),JUN,(0.989010989010989),CREB3L2,(0.989010989010989),NPAS2,(0.988011988011988),BACH2,(0.988011988011988),FOSB,(0.985014985014985),NR1I3,(0.98001998001998),MXI1,(0.973026973026973),FOSL1,(0.973026973026973),PPARD,(0.969030969030969),MYC,(0.948051948051948),KLF3,(0.946053946053946),ESR2,(0.921078921078921),JUNB,(0.92007992007992),MTF1,(0.856143856143856),HNF4A,(0.846153846153846),
NUDCD3	chr7	44490658	chr7	44485796	44487192	0.963037	KLF3,(0.998001998001998),NR1I3,(0.978021978021978),TP73,(0.977022977022977),ZNF691,(0.972027972027972),NR3C1,(0.971028971028971),RARB,(0.954045954045954),RORC,(0.932067932067932),MITF,(0.806193806193806),
NUDCD3	chr7	44490658	chr7	44498282	44499214	0.977023	ESR2,(0.958041958041958),NR1I3,(0.908091908091908),ZNF219,(0.802197802197802),
NUDCD3	chr7	44490658	chr7	44650503	44651462	0.961039	ZIC3,(0.998001998001998),ESRRG,(0.998001998001998),TFEB,(0.996003996003996),NR4A3,(0.996003996003996),NR4A2,(0.993006993006993),MITF,(0.991008991008991),NR1I3,(0.983016983016983),NR1H4,(0.978021978021978),RORC,(0.972027972027972),NR4A1,(0.969030969030969),NR2C1,(0.956043956043956),MTF1,(0.951048951048951),MYOD1,(0.875124875124875),HIC1,(0.823176823176823),NR2F2,(0.813186813186813),
NUFIP2	chr17	29294148	chr17	29074134	29075079	0.96004	RORC,(0.999000999000999),CREB3L2,(0.981018981018981),MEIS1,(0.976023976023976),NR3C1,(0.972027972027972),RORA,(0.969030969030969),ESR2,(0.955044955044955),ATOH1,(0.948051948051948),NR2C1,(0.945054945054945),NR2E1,(0.872127872127872),
NUFIP2	chr17	29294148	chr17	29572410	29573303	0.959041	NPAS2,(0.965034965034965),CREB3L2,(0.956043956043956),MTF1,(0.876123876123876),MXI1,(0.848151848151848),NR2C1,(0.847152847152847),SNAI2,(0.846153846153846),MYC,(0.812187812187812),
OGDH	chr7	44606626	chr7	44485796	44487192	0.972028	KLF3,(0.998001998001998),NR1I3,(0.978021978021978),TP73,(0.977022977022977),ZNF691,(0.972027972027972),NR3C1,(0.971028971028971),RARB,(0.954045954045954),RORC,(0.932067932067932),MITF,(0.806193806193806),
OGDH	chr7	44606626	chr7	44498282	44499214	0.962038	ESR2,(0.958041958041958),NR1I3,(0.908091908091908),ZNF219,(0.802197802197802),
OGDH	chr7	44606626	chr7	44650503	44651462	0.979021	ZIC3,(0.998001998001998),ESRRG,(0.998001998001998),TFEB,(0.996003996003996),NR4A3,(0.996003996003996),NR4A2,(0.993006993006993),MITF,(0.991008991008991),NR1I3,(0.983016983016983),NR1H4,(0.978021978021978),RORC,(0.972027972027972),NR4A1,(0.969030969030969),NR2C1,(0.956043956043956),MTF1,(0.951048951048951),MYOD1,(0.875124875124875),HIC1,(0.823176823176823),NR2F2,(0.813186813186813),
OSBPL2	chr20	62238520	chr20	62117360	62118212	0.981019	PPARD,(0.985014985014985),NR1I2,(0.979020979020979),ZIC3,(0.975024975024975),HES1,(0.97002997002997),MITF,(0.97002997002997),NR1I3,(0.967032967032967),TFEB,(0.965034965034965),MEIS1,(0.916083916083916),
OSBPL2	chr20	62238520	chr20	62555145	62556175	0.974026	HNF4G,(0.997002997002997),PPARD,(0.984015984015984),ESR1,(0.981018981018981),MYOD1,(0.963036963036963),PPARA,(0.958041958041958),HIC1,(0.947052947052947),KLF3,(0.933066933066933),NR2E1,(0.867132867132867),
